gateId,terminalId,waitTime,waitLength,occurtime,operatingTime,tmp1,tmp2,tmp3
DG1_E,P01,6,0,20260511143600,, , , 
DG1_W,P01,6,0,20260511143600,, , , 
DG2_E,P01,6,0,20260511143600,06:00~19:00, , , 
DG2_W,P01,7,2,20260511143600,06:00~19:00, , , 
DG3_E,P01,17,58,20260511143600,00:00~24:00, , , 
DG3_W,P01,16,57,20260511143600,00:00~24:00, , , 
DG4_E,P01,8,24,20260511143600,06:30~20:00, , , 
DG4_W,P01,7,21,20260511143600,06:30~20:00, , , 
DG5_E,P01,10,47,20260511143600,05:00~22:00, , , 
DG5_W,P01,10,48,20260511143600,05:00~22:00, , , 
DG1_E,P01,6,0,20260513134300,, , , 
DG1_W,P01,6,0,20260513134300,, , , 
DG2_E,P01,7,11,20260513134300,06:00~19:00, , , 
DG2_W,P01,8,12,20260513134300,06:00~19:00, , , 
DG3_E,P01,8,12,20260513134300,00:00~24:00, , , 
DG3_W,P01,9,14,20260513134300,00:00~24:00, , , 
DG4_E,P01,7,19,20260513134300,06:30~20:00, , , 
DG4_W,P01,7,17,20260513134300,06:30~20:00, , , 
DG5_E,P01,9,36,20260513134300,05:00~22:00, , , 
DG5_W,P01,9,36,20260513134300,05:00~22:00, , , 
DG1_E,P01,6,1,20260513135300,, , , 
DG1_W,P01,6,1,20260513135300,, , , 
DG2_E,P01,7,6,20260513135300,06:00~19:00, , , 
DG2_W,P01,8,8,20260513135300,06:00~19:00, , , 
DG3_E,P01,8,7,20260513135300,00:00~24:00, , , 
DG3_W,P01,8,9,20260513135300,00:00~24:00, , , 
DG4_E,P01,10,54,20260513135300,06:30~20:00, , , 
DG4_W,P01,10,50,20260513135300,06:30~20:00, , , 
DG5_E,P01,10,49,20260513135300,05:00~22:00, , , 
DG5_W,P01,10,48,20260513135300,05:00~22:00, , , 
DG1_E,P01,6,0,20260513135700,, , , 
DG1_W,P01,6,0,20260513135700,, , , 
DG2_E,P01,6,1,20260513135700,06:00~19:00, , , 
DG2_W,P01,7,5,20260513135700,06:00~19:00, , , 
DG3_E,P01,12,32,20260513135700,00:00~24:00, , , 
DG3_W,P01,12,31,20260513135700,00:00~24:00, , , 
DG4_E,P01,11,70,20260513135700,06:30~20:00, , , 
DG4_W,P01,11,71,20260513135700,06:30~20:00, , , 
DG5_E,P01,10,46,20260513135700,05:00~22:00, , , 
DG5_W,P01,9,43,20260513135700,05:00~22:00, , , 
DG1_E,P01,6,0,20260513142800,, , , 
DG1_W,P01,6,0,20260513142800,, , , 
DG2_E,P01,6,1,20260513142800,06:00~19:00, , , 
DG2_W,P01,7,5,20260513142800,06:00~19:00, , , 
DG3_E,P01,13,35,20260513142800,00:00~24:00, , , 
DG3_W,P01,14,38,20260513142800,00:00~24:00, , , 
DG4_E,P01,8,23,20260513142800,06:30~20:00, , , 
DG4_W,P01,8,23,20260513142800,06:30~20:00, , , 
DG5_E,P01,17,117,20260513142800,05:00~22:00, , , 
DG5_W,P01,18,120,20260513142800,05:00~22:00, , , 
DG1_E,P01,6,0,20260516144800,, , , 
DG1_W,P01,6,0,20260516144800,, , , 
DG2_E,P01,7,3,20260516144800,06:00~19:00, , , 
DG2_W,P01,7,7,20260516144800,06:00~19:00, , , 
DG3_E,P01,9,15,20260516144800,00:00~24:00, , , 
DG3_W,P01,9,13,20260516144800,00:00~24:00, , , 
DG4_E,P01,7,7,20260516144800,06:30~20:00, , , 
DG4_W,P01,7,7,20260516144800,06:30~20:00, , , 
DG5_E,P01,11,68,20260516144800,05:00~22:00, , , 
DG5_W,P01,11,72,20260516144800,05:00~22:00, , , 
DG1_E,P01,6,0,20260516145800,, , , 
DG1_W,P01,6,0,20260516145800,, , , 
DG2_E,P01,7,8,20260516145800,06:00~19:00, , , 
DG2_W,P01,8,9,20260516145800,06:00~19:00, , , 
DG3_E,P01,7,8,20260516145800,00:00~24:00, , , 
DG3_W,P01,7,5,20260516145800,00:00~24:00, , , 
DG4_E,P01,9,36,20260516145800,06:30~20:00, , , 
DG4_W,P01,9,33,20260516145800,06:30~20:00, , , 
DG5_E,P01,9,42,20260516145800,05:00~22:00, , , 
DG5_W,P01,10,61,20260516145800,05:00~22:00, , , 
DG1_E,P01,6,0,20260516150800,, , , 
DG1_W,P01,6,0,20260516150800,, , , 
DG2_E,P01,6,3,20260516150800,06:00~19:00, , , 
DG2_W,P01,7,6,20260516150800,06:00~19:00, , , 
DG3_E,P01,11,22,20260516150800,00:00~24:00, , , 
DG3_W,P01,10,17,20260516150800,00:00~24:00, , , 
DG4_E,P01,8,22,20260516150800,06:30~20:00, , , 
DG4_W,P01,8,21,20260516150800,06:30~20:00, , , 
DG5_E,P01,9,42,20260516150800,05:00~22:00, , , 
DG5_W,P01,9,43,20260516150800,05:00~22:00, , , 
DG1_E,P01,6,0,20260516151300,, , , 
DG1_W,P01,6,0,20260516151300,, , , 
DG2_E,P01,8,16,20260516151300,06:00~19:00, , , 
DG2_W,P01,8,21,20260516151300,06:00~19:00, , , 
DG3_E,P01,11,26,20260516151300,00:00~24:00, , , 
DG3_W,P01,10,21,20260516151300,00:00~24:00, , , 
DG4_E,P01,7,8,20260516151300,06:30~20:00, , , 
DG4_W,P01,7,8,20260516151300,06:30~20:00, , , 
DG5_E,P01,8,35,20260516151300,05:00~22:00, , , 
DG5_W,P01,8,35,20260516151300,05:00~22:00, , , 
DG1_E,P01,6,0,20260516151800,, , , 
DG1_W,P01,6,0,20260516151800,, , , 
DG2_E,P01,7,14,20260516151800,06:00~19:00, , , 
DG2_W,P01,8,20,20260516151800,06:00~19:00, , , 
DG3_E,P01,9,14,20260516151800,00:00~24:00, , , 
DG3_W,P01,8,10,20260516151800,00:00~24:00, , , 
DG4_E,P01,8,19,20260516151800,06:30~20:00, , , 
DG4_W,P01,8,19,20260516151800,06:30~20:00, , , 
DG5_E,P01,11,66,20260516151800,05:00~22:00, , , 
DG5_W,P01,10,66,20260516151800,05:00~22:00, , , 
DG1_E,P01,6,0,20260516152800,, , , 
DG1_W,P01,6,0,20260516152800,, , , 
DG2_E,P01,8,15,20260516152800,06:00~19:00, , , 
DG2_W,P01,9,29,20260516152800,06:00~19:00, , , 
DG3_E,P01,9,13,20260516152800,00:00~24:00, , , 
DG3_W,P01,8,11,20260516152800,00:00~24:00, , , 
DG4_E,P01,8,16,20260516152800,06:30~20:00, , , 
DG4_W,P01,7,14,20260516152800,06:30~20:00, , , 
DG5_E,P01,10,56,20260516152800,05:00~22:00, , , 
DG5_W,P01,10,53,20260516152800,05:00~22:00, , , 
DG1_E,P01,6,0,20260516153800,, , , 
DG1_W,P01,7,4,20260516153800,, , , 
DG2_E,P01,7,7,20260516153800,06:00~19:00, , , 
DG2_W,P01,7,10,20260516153800,06:00~19:00, , , 
DG3_E,P01,8,9,20260516153800,00:00~24:00, , , 
DG3_W,P01,7,4,20260516153800,00:00~24:00, , , 
DG4_E,P01,7,13,20260516153800,06:30~20:00, , , 
DG4_W,P01,7,14,20260516153800,06:30~20:00, , , 
DG5_E,P01,7,21,20260516153800,05:00~22:00, , , 
DG5_W,P01,7,21,20260516153800,05:00~22:00, , , 
DG1_E,P01,6,0,20260516154300,, , , 
DG1_W,P01,7,6,20260516154300,, , , 
DG2_E,P01,8,19,20260516154300,06:00~19:00, , , 
DG2_W,P01,9,27,20260516154300,06:00~19:00, , , 
DG3_E,P01,8,10,20260516154300,00:00~24:00, , , 
DG3_W,P01,7,6,20260516154300,00:00~24:00, , , 
DG4_E,P01,7,12,20260516154300,06:30~20:00, , , 
DG4_W,P01,7,11,20260516154300,06:30~20:00, , , 
DG5_E,P01,7,10,20260516154300,05:00~22:00, , , 
DG5_W,P01,7,9,20260516154300,05:00~22:00, , , 
DG1_E,P01,6,0,20260516154800,, , , 
DG1_W,P01,7,0,20260516154800,, , , 
DG2_E,P01,8,21,20260516154800,06:00~19:00, , , 
DG2_W,P01,8,20,20260516154800,06:00~19:00, , , 
DG3_E,P01,9,11,20260516154800,00:00~24:00, , , 
DG3_W,P01,8,9,20260516154800,00:00~24:00, , , 
DG4_E,P01,8,25,20260516154800,06:30~20:00, , , 
DG4_W,P01,9,30,20260516154800,06:30~20:00, , , 
DG5_E,P01,9,26,20260516154800,05:00~22:00, , , 
DG5_W,P01,8,24,20260516154800,05:00~22:00, , , 
DG1_E,P01,6,0,20260516155800,, , , 
DG1_W,P01,6,0,20260516155800,, , , 
DG2_E,P01,8,26,20260516155800,06:00~19:00, , , 
DG2_W,P01,9,38,20260516155800,06:00~19:00, , , 
DG3_E,P01,14,40,20260516155800,00:00~24:00, , , 
DG3_W,P01,13,35,20260516155800,00:00~24:00, , , 
DG4_E,P01,7,10,20260516155800,06:30~20:00, , , 
DG4_W,P01,7,10,20260516155800,06:30~20:00, , , 
DG5_E,P01,8,20,20260516155800,05:00~22:00, , , 
DG5_W,P01,8,20,20260516155800,05:00~22:00, , , 
DG1_E,P01,6,0,20260516160800,, , , 
DG1_W,P01,6,0,20260516160800,, , , 
DG2_E,P01,11,51,20260516160800,06:00~19:00, , , 
DG2_W,P01,11,56,20260516160800,06:00~19:00, , , 
DG3_E,P01,14,35,20260516160800,00:00~24:00, , , 
DG3_W,P01,13,32,20260516160800,00:00~24:00, , , 
DG4_E,P01,7,5,20260516160800,06:30~20:00, , , 
DG4_W,P01,7,3,20260516160800,06:30~20:00, , , 
DG5_E,P01,9,28,20260516160800,05:00~22:00, , , 
DG5_W,P01,9,28,20260516160800,05:00~22:00, , , 
DG1_E,P01,6,0,20260517124800,, , , 
DG1_W,P01,6,0,20260517124800,, , , 
DG2_E,P01,7,17,20260517124800,06:00~19:00, , , 
DG2_W,P01,14,81,20260517124800,06:00~19:00, , , 
DG3_E,P01,16,62,20260517124800,00:00~24:00, , , 
DG3_W,P01,16,62,20260517124800,00:00~24:00, , , 
DG4_E,P01,13,122,20260517124800,06:30~20:00, , , 
DG4_W,P01,17,144,20260517124800,06:30~20:00, , , 
DG5_E,P01,20,163,20260517124800,05:00~22:00, , , 
DG5_W,P01,34,231,20260517124800,05:00~22:00, , , 
DG1_E,P01,6,0,20260517125800,, , , 
DG1_W,P01,6,0,20260517125800,, , , 
DG2_E,P01,9,46,20260517125800,06:00~19:00, , , 
DG2_W,P01,10,47,20260517125800,06:00~19:00, , , 
DG3_E,P01,19,63,20260517125800,00:00~24:00, , , 
DG3_W,P01,20,69,20260517125800,00:00~24:00, , , 
DG4_E,P01,20,151,20260517125800,06:30~20:00, , , 
DG4_W,P01,23,165,20260517125800,06:30~20:00, , , 
DG5_E,P01,20,168,20260517125800,05:00~22:00, , , 
DG5_W,P01,32,235,20260517125800,05:00~22:00, , , 
DG1_E,P01,6,0,20260517130800,, , , 
DG1_W,P01,6,0,20260517130800,, , , 
DG2_E,P01,7,6,20260517130800,06:00~19:00, , , 
DG2_W,P01,7,8,20260517130800,06:00~19:00, , , 
DG3_E,P01,21,76,20260517130800,00:00~24:00, , , 
DG3_W,P01,21,80,20260517130800,00:00~24:00, , , 
DG4_E,P01,24,199,20260517130800,06:30~20:00, , , 
DG4_W,P01,20,165,20260517130800,06:30~20:00, , , 
DG5_E,P01,15,148,20260517130800,05:00~22:00, , , 
DG5_W,P01,22,209,20260517130800,05:00~22:00, , , 
DG1_E,P01,6,0,20260517131300,, , , 
DG1_W,P01,6,0,20260517131300,, , , 
DG2_E,P01,8,23,20260517131300,06:00~19:00, , , 
DG2_W,P01,9,34,20260517131300,06:00~19:00, , , 
DG3_E,P01,20,76,20260517131300,00:00~24:00, , , 
DG3_W,P01,20,72,20260517131300,00:00~24:00, , , 
DG4_E,P01,24,176,20260517131300,06:30~20:00, , , 
DG4_W,P01,20,150,20260517131300,06:30~20:00, , , 
DG5_E,P01,14,140,20260517131300,05:00~22:00, , , 
DG5_W,P01,17,173,20260517131300,05:00~22:00, , , 
DG1_E,P01,6,0,20260517131800,, , , 
DG1_W,P01,6,0,20260517131800,, , , 
DG2_E,P01,7,7,20260517131800,06:00~19:00, , , 
DG2_W,P01,7,9,20260517131800,06:00~19:00, , , 
DG3_E,P01,22,82,20260517131800,00:00~24:00, , , 
DG3_W,P01,22,86,20260517131800,00:00~24:00, , , 
DG4_E,P01,24,187,20260517131800,06:30~20:00, , , 
DG4_W,P01,19,146,20260517131800,06:30~20:00, , , 
DG5_E,P01,14,133,20260517131800,05:00~22:00, , , 
DG5_W,P01,15,149,20260517131800,05:00~22:00, , , 
DG1_E,P01,6,0,20260517132800,, , , 
DG1_W,P01,6,0,20260517132800,, , , 
DG2_E,P01,7,15,20260517132800,06:00~19:00, , , 
DG2_W,P01,8,22,20260517132800,06:00~19:00, , , 
DG3_E,P01,19,67,20260517132800,00:00~24:00, , , 
DG3_W,P01,19,66,20260517132800,00:00~24:00, , , 
DG4_E,P01,18,138,20260517132800,06:30~20:00, , , 
DG4_W,P01,14,110,20260517132800,06:30~20:00, , , 
DG5_E,P01,13,108,20260517132800,05:00~22:00, , , 
DG5_W,P01,13,112,20260517132800,05:00~22:00, , , 
DG1_E,P01,6,0,20260517133800,, , , 
DG1_W,P01,6,0,20260517133800,, , , 
DG2_E,P01,7,11,20260517133800,06:00~19:00, , , 
DG2_W,P01,8,18,20260517133800,06:00~19:00, , , 
DG3_E,P01,11,26,20260517133800,00:00~24:00, , , 
DG3_W,P01,11,27,20260517133800,00:00~24:00, , , 
DG4_E,P01,12,98,20260517133800,06:30~20:00, , , 
DG4_W,P01,12,103,20260517133800,06:30~20:00, , , 
DG5_E,P01,10,70,20260517133800,05:00~22:00, , , 
DG5_W,P01,10,70,20260517133800,05:00~22:00, , , 
DG1_E,P01,6,0,20260517134300,, , , 
DG1_W,P01,6,0,20260517134300,, , , 
DG2_E,P01,7,13,20260517134300,06:00~19:00, , , 
DG2_W,P01,7,15,20260517134300,06:00~19:00, , , 
DG3_E,P01,10,18,20260517134300,00:00~24:00, , , 
DG3_W,P01,10,22,20260517134300,00:00~24:00, , , 
DG4_E,P01,18,147,20260517134300,06:30~20:00, , , 
DG4_W,P01,15,119,20260517134300,06:30~20:00, , , 
DG5_E,P01,9,49,20260517134300,05:00~22:00, , , 
DG5_W,P01,8,45,20260517134300,05:00~22:00, , , 
DG1_E,P01,6,0,20260517134800,, , , 
DG1_W,P01,6,0,20260517134800,, , , 
DG2_E,P01,7,10,20260517134800,06:00~19:00, , , 
DG2_W,P01,8,18,20260517134800,06:00~19:00, , , 
DG3_E,P01,11,26,20260517134800,00:00~24:00, , , 
DG3_W,P01,12,29,20260517134800,00:00~24:00, , , 
DG4_E,P01,22,171,20260517134800,06:30~20:00, , , 
DG4_W,P01,15,116,20260517134800,06:30~20:00, , , 
DG5_E,P01,7,23,20260517134800,05:00~22:00, , , 
DG5_W,P01,8,28,20260517134800,05:00~22:00, , , 
DG1_E,P01,6,0,20260517135800,, , , 
DG1_W,P01,6,0,20260517135800,, , , 
DG2_E,P01,7,12,20260517135800,06:00~19:00, , , 
DG2_W,P01,8,14,20260517135800,06:00~19:00, , , 
DG3_E,P01,14,40,20260517135800,00:00~24:00, , , 
DG3_W,P01,14,40,20260517135800,00:00~24:00, , , 
DG4_E,P01,18,151,20260517135800,06:30~20:00, , , 
DG4_W,P01,15,120,20260517135800,06:30~20:00, , , 
DG5_E,P01,6,5,20260517135800,05:00~22:00, , , 
DG5_W,P01,7,7,20260517135800,05:00~22:00, , , 
DG1_E,P01,6,0,20260517140800,, , , 
DG1_W,P01,6,0,20260517140800,, , , 
DG2_E,P01,6,3,20260517140800,06:00~19:00, , , 
DG2_W,P01,7,6,20260517140800,06:00~19:00, , , 
DG3_E,P01,18,62,20260517140800,00:00~24:00, , , 
DG3_W,P01,18,61,20260517140800,00:00~24:00, , , 
DG4_E,P01,19,147,20260517140800,06:30~20:00, , , 
DG4_W,P01,14,110,20260517140800,06:30~20:00, , , 
DG5_E,P01,8,24,20260517140800,05:00~22:00, , , 
DG5_W,P01,8,23,20260517140800,05:00~22:00, , , 
DG1_E,P01,6,0,20260517141300,, , , 
DG1_W,P01,6,1,20260517141300,, , , 
DG2_E,P01,7,12,20260517141300,06:00~19:00, , , 
DG2_W,P01,8,14,20260517141300,06:00~19:00, , , 
DG3_E,P01,16,50,20260517141300,00:00~24:00, , , 
DG3_W,P01,16,50,20260517141300,00:00~24:00, , , 
DG4_E,P01,19,146,20260517141300,06:30~20:00, , , 
DG4_W,P01,14,109,20260517141300,06:30~20:00, , , 
DG5_E,P01,9,35,20260517141300,05:00~22:00, , , 
DG5_W,P01,8,34,20260517141300,05:00~22:00, , , 
DG1_E,P01,6,0,20260517141800,, , , 
DG1_W,P01,6,0,20260517141800,, , , 
DG2_E,P01,7,5,20260517141800,06:00~19:00, , , 
DG2_W,P01,7,8,20260517141800,06:00~19:00, , , 
DG3_E,P01,12,30,20260517141800,00:00~24:00, , , 
DG3_W,P01,12,31,20260517141800,00:00~24:00, , , 
DG4_E,P01,15,129,20260517141800,06:30~20:00, , , 
DG4_W,P01,12,100,20260517141800,06:30~20:00, , , 
DG5_E,P01,7,15,20260517141800,05:00~22:00, , , 
DG5_W,P01,7,14,20260517141800,05:00~22:00, , , 
DG1_E,P01,6,0,20260517142800,, , , 
DG1_W,P01,6,0,20260517142800,, , , 
DG2_E,P01,7,14,20260517142800,06:00~19:00, , , 
DG2_W,P01,9,29,20260517142800,06:00~19:00, , , 
DG3_E,P01,8,10,20260517142800,00:00~24:00, , , 
DG3_W,P01,7,7,20260517142800,00:00~24:00, , , 
DG4_E,P01,10,69,20260517142800,06:30~20:00, , , 
DG4_W,P01,10,70,20260517142800,06:30~20:00, , , 
DG5_E,P01,8,31,20260517142800,05:00~22:00, , , 
DG5_W,P01,9,31,20260517142800,05:00~22:00, , , 
DG1_E,P01,6,0,20260517143800,, , , 
DG1_W,P01,6,0,20260517143800,, , , 
DG2_E,P01,7,10,20260517143800,06:00~19:00, , , 
DG2_W,P01,7,12,20260517143800,06:00~19:00, , , 
DG3_E,P01,15,48,20260517143800,00:00~24:00, , , 
DG3_W,P01,15,48,20260517143800,00:00~24:00, , , 
DG4_E,P01,7,11,20260517143800,06:30~20:00, , , 
DG4_W,P01,7,8,20260517143800,06:30~20:00, , , 
DG5_E,P01,7,17,20260517143800,05:00~22:00, , , 
DG5_W,P01,9,35,20260517143800,05:00~22:00, , , 
DG1_E,P01,6,0,20260517144300,, , , 
DG1_W,P01,6,0,20260517144300,, , , 
DG2_E,P01,7,9,20260517144300,06:00~19:00, , , 
DG2_W,P01,7,10,20260517144300,06:00~19:00, , , 
DG3_E,P01,14,40,20260517144300,00:00~24:00, , , 
DG3_W,P01,15,51,20260517144300,00:00~24:00, , , 
DG4_E,P01,8,23,20260517144300,06:30~20:00, , , 
DG4_W,P01,7,18,20260517144300,06:30~20:00, , , 
DG5_E,P01,8,30,20260517144300,05:00~22:00, , , 
DG5_W,P01,8,30,20260517144300,05:00~22:00, , , 
DG1_E,P01,6,0,20260517144800,, , , 
DG1_W,P01,6,0,20260517144800,, , , 
DG2_E,P01,8,25,20260517144800,06:00~19:00, , , 
DG2_W,P01,9,27,20260517144800,06:00~19:00, , , 
DG3_E,P01,16,53,20260517144800,00:00~24:00, , , 
DG3_W,P01,16,55,20260517144800,00:00~24:00, , , 
DG4_E,P01,7,6,20260517144800,06:30~20:00, , , 
DG4_W,P01,6,5,20260517144800,06:30~20:00, , , 
DG5_E,P01,7,8,20260517144800,05:00~22:00, , , 
DG5_W,P01,7,10,20260517144800,05:00~22:00, , , 
DG1_E,P01,6,0,20260517145800,, , , 
DG1_W,P01,6,0,20260517145800,, , , 
DG2_E,P01,8,22,20260517145800,06:00~19:00, , , 
DG2_W,P01,9,30,20260517145800,06:00~19:00, , , 
DG3_E,P01,11,24,20260517145800,00:00~24:00, , , 
DG3_W,P01,11,23,20260517145800,00:00~24:00, , , 
DG4_E,P01,8,22,20260517145800,06:30~20:00, , , 
DG4_W,P01,8,23,20260517145800,06:30~20:00, , , 
DG5_E,P01,7,13,20260517145800,05:00~22:00, , , 
DG5_W,P01,7,15,20260517145800,05:00~22:00, , , 
DG1_E,P01,6,0,20260518125900,, , , 
DG1_W,P01,6,1,20260518125900,, , , 
DG2_E,P01,7,13,20260518125900,06:00~20:00, , , 
DG2_W,P01,7,18,20260518125900,06:00~20:00, , , 
DG3_E,P01,10,23,20260518125900,00:00~24:00, , , 
DG3_W,P01,10,24,20260518125900,00:00~24:00, , , 
DG4_E,P01,13,93,20260518125900,06:30~20:00, , , 
DG4_W,P01,16,110,20260518125900,06:30~20:00, , , 
DG5_E,P01,18,178,20260518125900,05:00~22:00, , , 
DG5_W,P01,29,260,20260518125900,05:00~22:00, , , 
DG1_E,P01,6,0,20260518130900,, , , 
DG1_W,P01,6,0,20260518130900,, , , 
DG2_E,P01,8,18,20260518130900,06:00~20:00, , , 
DG2_W,P01,8,20,20260518130900,06:00~20:00, , , 
DG3_E,P01,11,22,20260518130900,00:00~24:00, , , 
DG3_W,P01,11,24,20260518130900,00:00~24:00, , , 
DG4_E,P01,14,106,20260518130900,06:30~20:00, , , 
DG4_W,P01,17,119,20260518130900,06:30~20:00, , , 
DG5_E,P01,19,193,20260518130900,05:00~22:00, , , 
DG5_W,P01,25,247,20260518130900,05:00~22:00, , , 
DG1_E,P01,6,0,20260518131300,, , , 
DG1_W,P01,6,0,20260518131300,, , , 
DG2_E,P01,7,12,20260518131300,06:00~20:00, , , 
DG2_W,P01,8,23,20260518131300,06:00~20:00, , , 
DG3_E,P01,8,12,20260518131300,00:00~24:00, , , 
DG3_W,P01,9,16,20260518131300,00:00~24:00, , , 
DG4_E,P01,15,106,20260518131300,06:30~20:00, , , 
DG4_W,P01,15,102,20260518131300,06:30~20:00, , , 
DG5_E,P01,22,178,20260518131300,05:00~22:00, , , 
DG5_W,P01,27,233,20260518131300,05:00~22:00, , , 
DG1_E,P01,6,0,20260518132800,, , , 
DG1_W,P01,6,1,20260518132800,, , , 
DG2_E,P01,6,4,20260518132800,06:00~19:00, , , 
DG2_W,P01,7,7,20260518132800,06:00~19:00, , , 
DG3_E,P01,10,23,20260518132800,00:00~24:00, , , 
DG3_W,P01,11,31,20260518132800,00:00~24:00, , , 
DG4_E,P01,19,148,20260518132800,06:30~20:00, , , 
DG4_W,P01,17,127,20260518132800,06:30~20:00, , , 
DG5_E,P01,20,171,20260518132800,05:00~22:00, , , 
DG5_W,P01,36,259,20260518132800,05:00~22:00, , , 
DG1_E,P01,6,0,20260518133800,, , , 
DG1_W,P01,6,1,20260518133800,, , , 
DG2_E,P01,7,7,20260518133800,06:00~19:00, , , 
DG2_W,P01,8,12,20260518133800,06:00~19:00, , , 
DG3_E,P01,14,37,20260518133800,00:00~24:00, , , 
DG3_W,P01,14,40,20260518133800,00:00~24:00, , , 
DG4_E,P01,19,142,20260518133800,06:30~20:00, , , 
DG4_W,P01,13,101,20260518133800,06:30~20:00, , , 
DG5_E,P01,19,163,20260518133800,05:00~22:00, , , 
DG5_W,P01,31,229,20260518133800,05:00~22:00, , , 
DG1_E,P01,6,0,20260518134300,, , , 
DG1_W,P01,6,1,20260518134300,, , , 
DG2_E,P01,7,5,20260518134300,06:00~19:00, , , 
DG2_W,P01,7,6,20260518134300,06:00~19:00, , , 
DG3_E,P01,13,35,20260518134300,00:00~24:00, , , 
DG3_W,P01,13,35,20260518134300,00:00~24:00, , , 
DG4_E,P01,16,110,20260518134300,06:30~20:00, , , 
DG4_W,P01,14,99,20260518134300,06:30~20:00, , , 
DG5_E,P01,20,170,20260518134300,05:00~22:00, , , 
DG5_W,P01,28,208,20260518134300,05:00~22:00, , , 
DG1_E,P01,6,0,20260518134800,, , , 
DG1_W,P01,6,1,20260518134800,, , , 
DG2_E,P01,7,4,20260518134800,06:00~19:00, , , 
DG2_W,P01,7,7,20260518134800,06:00~19:00, , , 
DG3_E,P01,21,76,20260518134800,00:00~24:00, , , 
DG3_W,P01,20,75,20260518134800,00:00~24:00, , , 
DG4_E,P01,14,119,20260518134800,06:30~20:00, , , 
DG4_W,P01,14,116,20260518134800,06:30~20:00, , , 
DG5_E,P01,22,189,20260518134800,05:00~22:00, , , 
DG5_W,P01,26,210,20260518134800,05:00~22:00, , , 
DG1_E,P01,6,0,20260518135800,, , , 
DG1_W,P01,6,0,20260518135800,, , , 
DG2_E,P01,7,8,20260518135800,06:00~19:00, , , 
DG2_W,P01,8,11,20260518135800,06:00~19:00, , , 
DG3_E,P01,24,93,20260518135800,00:00~24:00, , , 
DG3_W,P01,25,105,20260518135800,00:00~24:00, , , 
DG4_E,P01,17,111,20260518135800,06:30~20:00, , , 
DG4_W,P01,17,101,20260518135800,06:30~20:00, , , 
DG5_E,P01,22,195,20260518135800,05:00~22:00, , , 
DG5_W,P01,21,186,20260518135800,05:00~22:00, , , 
DG1_E,P01,6,0,20260518140800,, , , 
DG1_W,P01,6,0,20260518140800,, , , 
DG2_E,P01,7,9,20260518140800,06:00~19:00, , , 
DG2_W,P01,8,13,20260518140800,06:00~19:00, , , 
DG3_E,P01,21,72,20260518140800,00:00~24:00, , , 
DG3_W,P01,21,72,20260518140800,00:00~24:00, , , 
DG4_E,P01,17,121,20260518140800,06:30~20:00, , , 
DG4_W,P01,14,95,20260518140800,06:30~20:00, , , 
DG5_E,P01,14,121,20260518140800,05:00~22:00, , , 
DG5_W,P01,14,122,20260518140800,05:00~22:00, , , 
DG1_E,P01,6,0,20260518141300,, , , 
DG1_W,P01,6,0,20260518141300,, , , 
DG2_E,P01,7,13,20260518141300,06:00~19:00, , , 
DG2_W,P01,8,17,20260518141300,06:00~19:00, , , 
